"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",372.360143152847,0.148577849855252,0.144953008871962,1.02500700752263,0.305359881210655,0.63781545554637
"LOC124900384",4.40925619010978,0.669171774206775,0.880406051185565,0.760071757009917,0.447211693664419,NA
"LOC729737",3.80755427309651,0.916805687761734,0.965849799070003,0.949221803063485,0.34250781473489,NA
"WASH9P",72.6074878484182,0.104100495134048,0.253271484046722,0.411023355139516,0.681055409341761,0.876066516284974
"LOC100288069",111.982262333294,0.449493471588346,0.20642349128571,2.17753061334576,0.0294410002528657,0.174180676552365
"LINC01409",8.79761606315115,0.169558582607642,0.664591540100031,0.255132020762889,0.798621133323789,NA
"LOC124903817",6.21313223630461,-0.278284658390044,0.786476582043076,-0.353837183132812,0.723460905743444,NA
"FAM87B",2.30714114880278,0.845663749509078,1.25090723449871,0.676040337913601,0.499015034649266,NA
"LINC00115",27.1057180392943,0.0882695729887139,0.387937036743871,0.227535823157283,0.820007116783643,0.933303431236106
"LINC01128",130.984515355462,0.0777071048701247,0.191153994350846,0.406515726412184,0.68436370419851,0.877623716496387
"LOC284600",208.953151194956,-0.0946800204307996,0.193576483151179,-0.489109105039668,0.624764455688105,0.851850335405589
"LINC02593",139.624404761344,-0.140922515729154,0.199050811525974,-0.707972575689628,0.478962288156216,0.775335604327362
"LOC107985728",176.251996726212,-0.0718420904037486,0.203111326632156,-0.353707947237516,0.72355776611887,0.892929769450531
"SAMD11",1508.96963599682,0.126552114156954,0.171880487538952,0.736279702070746,0.461560496343383,0.762338430081857
"NOC2L",2705.38253649231,0.128586287828576,0.141059678382822,0.911573663734053,0.361993191455796,0.685873227191213
"KLHL17",416.087639721155,-0.0498181287342239,0.157670619750813,-0.315963296224484,0.752030367411929,0.905849850778
"PLEKHN1",93.6490433260296,-0.252283295836736,0.227497640949746,-1.10894906331124,0.267452156421953,0.600436469727186
"PERM1",14.3911577518173,-0.410919170181828,0.494578339177025,-0.830847486902872,0.406059792455713,NA
"HES4",1452.71550379007,0.183169281316781,0.14212786416313,1.28876404634171,0.197480128933691,0.516552826337471
"ISG15",21003.5880617143,0.577893057911185,0.165427241735731,3.49333671919867,0.000477024603379909,0.00911928949227337
"AGRN",10077.0235593292,0.0211912694656244,0.134734780002804,0.157281360203976,0.875023109823184,0.956536513946474
"LOC100288175",87.4614950762386,0.350884636557866,0.234066241502625,1.4990826285128,0.133852197575352,0.425505886606103
"LOC105378948",13.6526551694593,-0.832578074026944,0.514363897438532,-1.61865573803504,0.105521355274019,NA
"RNF223",74.6843864284829,-0.00774102615516118,0.250764156124434,-0.0308697473945197,0.975373416501566,0.992323524151841
"C1orf159",564.39669624034,0.0697507893276686,0.145951993120153,0.477902273456774,0.63271976319645,0.855150579044183
"SDF4",5063.90431760684,-0.0224939524784506,0.13485954369322,-0.166795407002266,0.867531032743103,0.953654886032989
"B3GALT6",532.635341688805,0.123986718108508,0.15921384359284,0.778743326023718,0.4361309285638,0.744987200669029
"C1QTNF12",23.7047020376299,-0.177677035701208,0.447674032862459,-0.396889304847835,0.691449091367784,0.880337866428679
"UBE2J2",752.254446962034,-0.163415681491921,0.15594977957487,-1.04787375741988,0.294696774458066,0.626369407163483
"LINC01786",19.0991650647432,-0.527042621786499,0.480133414232049,-1.09770036028315,0.272335352399331,0.606856757808889
