"","SRR31732086.ReadsPerGene.out.tab","SRR31732087.ReadsPerGene.out.tab","SRR31732088.ReadsPerGene.out.tab","SRR31732089.ReadsPerGene.out.tab","SRR31732090.ReadsPerGene.out.tab","SRR31732091.ReadsPerGene.out.tab"
"DDX11L1",0,0,0,0,0,0
"WASH7P",388,344,494,378,350,318
"MIR6859-1",0,0,1,0,0,0
"MIR1302-2HG",0,0,1,0,0,0
"MIR1302-2",0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0
"LOC124903816",0,0,0,0,1,0
"LOC124900384",4,5,8,3,3,4
"LOC729737",3,4,9,4,2,2
"LOC124903814",0,0,0,0,0,0
"DDX11L17",0,0,1,0,0,0
"WASH9P",60,81,93,87,66,56
"MIR6859-2",0,0,0,0,0,0
"LOC127239154",1,3,3,1,1,1
"LOC124903815",0,0,0,0,0,0
"LOC124900618",0,0,0,0,0,0
"LOC112268260",0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0
"LOC100132287",0,1,0,0,0,0
"LOC124904706",0,0,0,0,0,0
"LOC105378947",3,1,1,1,2,0
"LOC101928626",0,0,0,0,0,0
"MIR12136",1,2,0,1,3,2
"OR4F16",1,1,2,0,2,0
"LOC100288069",140,104,162,111,88,83
"LINC01409",12,8,9,11,12,2
"LOC124903817",9,1,8,5,9,6
"FAM87B",1,5,3,3,1,1
"LINC00115",19,32,36,36,25,18
"LINC01128",138,117,166,147,117,115
"LOC107984850",0,0,1,0,0,0
"FAM41C",0,0,1,0,0,0
"LOC284600",207,169,259,268,235,144
"LINC02593",136,128,148,149,124,158
"LOC107985728",187,145,205,182,138,211
"SAMD11",1517,1552,1823,1328,1167,1720
"NOC2L",2751,2717,3325,2625,2180,2799
"KLHL17",349,431,489,470,383,401
"PLEKHN1",78,84,104,98,114,88
"PERM1",15,8,16,19,16,14
"HES4",1573,1562,1640,1409,1176,1424
"ISG15",26510,24647,26694,15165,14274,19747
"AGRN",9935,9435,12305,10148,8573,10708
"LOC100288175",119,75,113,82,82,64
"LOC105378948",12,6,13,19,18,15
"RNF223",68,58,110,91,72,61
"C1orf159",561,528,717,565,484,574
"LOC124903819",0,0,0,0,0,0
"LOC124903820",0,0,0,0,0,1
"LINC01342",0,0,0,0,0,0
"MIR200BHG",0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0
"MIR429",0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0
"TNFRSF18",0,0,0,0,1,0
